Column 1,Word,Count,Type,Overlap
1444,market,58,trump,
134,Nice,58,trump,
1236,Putin,58,trump,
2333,laws,57,trump,
2682,turbines,57,trump,
4426,Bob,57,trump,
5524,allow,57,trump,
4610,BIG,57,trump,
4676,WIN,57,trump,
760,destroy,56,trump,
6187,Mitt,56,trump,
2645,sir,56,trump,
968,Pres,56,trump,
3446,George,56,trump,
2341,Nancy,56,trump,
5055,ads,55,trump,
763,paying,55,trump,
1085,Success,55,trump,
5555,biased,55,trump,
6008,DNC,55,trump,
6042,zero,55,trump,
4228,despite,55,trump,
2673,nuclear,55,trump,
140,budget,55,trump,
3227,interest,55,trump,
1636,NEWS,55,trump,
2252,Universe,55,trump,
2286,billmaher,54,trump,
4117,Minister,54,trump,
1686,realdonaldtrump,54,trump,
933,BreitbartNews,54,trump,
2211,NewsmaxMedia,54,trump,
4404,false,54,trump,
2791,Cuts,54,trump,
3324,television,54,trump,
4073,NEVER,54,trump,
2763,Marco,54,trump,
3614,greta,54,trump,
2148,Andrew,53,trump,
2533,warming,53,trump,
2532,global,53,trump,
2796,higher,53,trump,
3573,Letterman,53,trump,
3597,candidates,53,trump,
2443,corrupt,53,trump,
1635,FAKE,53,trump,
4753,increase,53,trump,
4806,boring,52,trump,
5374,prayers,52,trump,
4791,easily,52,trump,
3236,VP,52,trump,
675,advice,52,trump,
5049,Congressman,52,trump,
4213,TrumpChicago,52,trump,
4694,Supreme,52,trump,
2274,gretawire,52,trump,
2873,honored,52,trump,
122,Street,51,trump,
3088,primary,51,trump,
3875,Don,51,trump,
4785,Alabama,51,trump,
1802,elected,51,trump,
2130,Too,51,trump,
6077,Nation,51,trump,
1493,views,51,trump,
955,Touch,51,trump,
954,Midas,51,trump,
1429,expected,51,trump,
1872,apprentice,51,trump,
3333,potential,50,trump,
5053,JebBush,50,trump,
4116,Prime,50,trump,
3911,ridiculous,50,trump,
1210,WH,50,trump,
1087,failure,50,trump,
6660,policies,50,trump,
4636,nbc,50,trump,
1917,HillaryClinton,50,trump,
4621,AmericaFirst,49,trump,
4200,Give,49,trump,
3210,inspiration,49,trump,
1593,investigation,49,trump,
849,FLOTUS,49,trump,
2832,price,49,trump,
184,Bad,49,trump,
2591,historic,49,trump,
1529,Kim,49,trump,
6540,unfair,49,trump,
687,Together,49,trump,
3793,Robert,49,trump,
882,billion,48,trump,
4722,Palm,48,trump,
5441,nights,48,trump,
2960,Arizona,48,trump,
450,created,48,trump,
743,Law,48,trump,
2429,Pelosi,48,trump,
1284,AlexSalmond,47,trump,
1446,plans,47,trump,
3005,cuts,47,trump,
1561,announcement,47,trump,
3187,Government,47,trump,
2926,poor,47,trump,
3033,luxury,47,trump,
1480,safety,47,trump,
4235,spoke,47,trump,
4013,Yankees,47,trump,
1805,Wisconsin,47,trump,
84,Should,47,trump,
2088,records,47,trump,
3842,Campaign,47,trump,
7642,enforcement,47,trump,
7622,DONALD,46,trump,
3272,doubt,46,trump,
422,Wrong,46,trump,
3437,Watching,46,trump,
5095,often,46,trump,
3332,Market,46,trump,
3577,quickly,46,trump,
55,VoteTrump,46,trump,
5676,reported,46,trump,
3693,forced,46,trump,
2182,politician,45,trump,
2529,talent,45,trump,
952,growth,45,trump,
1439,states,45,trump,
893,incompetent,45,trump,
1251,AllStar,45,trump,
3305,private,45,trump,
3064,force,45,trump,
5305,McCain,45,trump,
3118,Tune,45,trump,
1201,WALL,45,trump,
3334,Strong,45,trump,
2770,Links,45,trump,
6283,Dossier,45,trump,
4332,businessman,45,trump,
11277,spectacular,44,trump,
5093,afraid,44,trump,
3537,Department,44,trump,
4454,laughing,44,trump,
5871,treated,44,trump,
1199,800,44,trump,
6648,Borders,44,trump,
3480,trumpvlog,44,trump,
1501,Blue,44,trump,
694,Sanders,44,trump,
2384,DanScavino,44,trump,
2173,KarlRove,44,trump,
4343,confidence,44,trump,
2391,based,43,trump,
3162,wishes,43,trump,
2468,TrumpTowerNY,43,trump,
5511,Billion,43,trump,
24,Kelly,43,trump,
286,lightweight,43,trump,
1174,Scott,43,trump,
3138,Without,43,trump,
1834,VA,43,trump,
4006,administration,43,trump,
1248,written,43,trump,
2092,sell,43,trump,
168,Thx,43,trump,
8490,Friends,43,trump,
1821,DACA,43,trump,
2000,MissUniverse,43,trump,
397,rich,43,trump,
6404,Interesting,43,trump,
4227,received,43,trump,
1065,WSJ,43,trump,
3139,passion,42,trump,
10237,offers,42,trump,
5683,legal,42,trump,
5172,MUST,42,trump,
593,except,42,trump,
2410,ET,42,trump,
2040,crowds,42,trump,
4266,shirts,42,trump,
7198,brand,42,trump,
548,pushing,42,trump,
2508,ideas,42,trump,
4439,Schumer,42,trump,
1707,Does,42,trump,
8907,piersmorgan,42,trump,
904,Special,42,trump,
3396,DannyZuker,42,trump,
7912,DrainTheSwamp,42,trump,
2865,Summit,42,trump,
3003,sold,42,trump,
1152,progress,42,trump,
6630,presidency,42,trump,
1793,fraud,41,trump,
4287,hosting,41,trump,
1740,lots,41,trump,
2038,TeamTrump,41,trump,
528,Tea,41,trump,
1921,defeat,41,trump,
2843,1000,41,trump,
5105,Immigration,41,trump,
3733,PRESIDENT,41,trump,
85,Federal,41,trump,
1588,celebrity,41,trump,
3520,Report,41,trump,
5835,Veterans,41,trump,
6224,enjoyed,41,trump,
7613,approval,41,trump,
8925,strength,41,trump,
5152,RNC,41,trump,
3618,Business,41,trump,
5389,necessary,41,trump,
948,entrepreneurs,40,trump,
6835,agenda,40,trump,
1718,focused,40,trump,
3105,June,40,trump,
3331,Stock,40,trump,
4405,statements,40,trump,
2942,Steve,40,trump,
2892,Barack,40,trump,
4185,Mayor,40,trump,
7476,dying,40,trump,
3075,troops,40,trump,
3504,Benghazi,40,trump,
2347,pathetic,40,trump,
1792,Carson,40,trump,
6393,Joe,40,trump,
1663,AG,40,trump,
2526,Sad,40,trump,
6888,discuss,40,trump,
7435,ad,39,trump,
2145,realDonaldTrumps,39,trump,
103,coverage,39,trump,
4108,signing,39,trump,
9093,stronger,39,trump,
1472,desperate,39,trump,
139,2013,39,trump,
10795,BrandiGlanville,39,trump,
2283,setting,39,trump,
2898,collusion,39,trump,
8470,Union,39,trump,
1919,claims,39,trump,
5438,whose,39,trump,
4410,trouble,39,trump,
1621,Getting,39,trump,
3416,nations,39,trump,
3101,Georgia,38,trump,
1277,Beautiful,38,trump,
2064,SC,38,trump,
1861,perhaps,38,trump,
5734,host,38,trump,
4142,mention,38,trump,
5714,tuned,38,trump,
3426,Ivanka,38,trump,
1010,Kasich,38,trump,
5393,afternoon,38,trump,
4823,lower,38,trump,
5239,War,38,trump,
1287,RUN,38,trump,
6120,brilliant,38,trump,
4424,Rigged,38,trump,
2549,Magazine,38,trump,
5637,Africa,38,trump,
5996,Pageant,38,trump,
6055,Much,38,trump,
2146,Intl,38,trump,
7088,Fantastic,38,trump,
2498,Their,37,trump,
1784,disgrace,37,trump,
3090,Greta,37,trump,
2525,Rosie,37,trump,
8219,Middle,37,trump,
406,tweeting,37,trump,
4069,popular,37,trump,
11042,OPEC,37,trump,
3021,threat,37,trump,
5976,illegally,37,trump,
758,Aberdeen,37,trump,
741,victims,37,trump,
7054,raised,37,trump,
3629,meetings,37,trump,
8098,estate,37,trump,
2121,talks,37,trump,
3740,Jeff,37,trump,
1421,serve,37,trump,
5080,demand,37,trump,
1889,Debate,37,trump,
3904,Indiana,37,trump,
6220,mcuban,37,trump,
869,brave,37,trump,
2582,involved,37,trump,
2158,vision,36,trump,
1720,financial,36,trump,
5921,arrived,36,trump,
2437,clean,36,trump,
5632,Nations,36,trump,
2022,keeping,36,trump,
8079,speaks,36,trump,
12060,NH,36,trump,
6363,Tariffs,36,trump,
1936,stock,36,trump,
1481,citizens,36,trump,
1395,r,36,trump,
3617,Clintons,36,trump,
761,NATO,36,trump,
804,u55357,36,trump,
3582,Has,36,trump,
810,u55356,36,trump,
4701,Muslim,36,trump,
3738,Dem,36,trump,
4719,MaraLago,36,trump,
999,Old,36,trump,
3380,drugs,36,trump,
9615,NOTHING,36,trump,
1258,CBS,36,trump,
3026,courses,36,trump,
6579,OUR,36,trump,
3054,opportunities,36,trump,
338,wealth,36,trump,
342,worlds,36,trump,
3834,expensive,36,trump,
4192,charge,36,trump,
4132,Hopefully,35,trump,
3216,decades,35,trump,
4925,Ireland,35,trump,
10758,agreed,35,trump,
148,shouldnt,35,trump,
1295,courage,35,trump,
7703,lawyer,35,trump,
7748,recovery,35,trump,
1089,loss,35,trump,
3157,SAFE,35,trump,
5285,apologize,35,trump,
2556,trump2016,35,trump,
2135,Dollars,35,trump,
4714,greatly,35,trump,
1978,Act,35,trump,
3708,facts,35,trump,
659,France,35,trump,
11503,MrTrump,35,trump,
579,GeraldoRivera,35,trump,
9502,interests,35,trump,
3857,letter,35,trump,
6222,honest,35,trump,
3737,January,35,trump,
784,careful,35,trump,
2962,illegals,35,trump,
3071,sending,35,trump,
6403,innocent,35,trump,
5107,Senators,35,trump,
5058,bet,35,trump,
3000,2014,35,trump,
10377,ARod,34,trump,
2137,Record,34,trump,
1405,opinion,34,trump,
5694,dropped,34,trump,
8085,Isnt,34,trump,
5303,premiums,34,trump,
3835,solution,34,trump,
4905,drug,34,trump,
69,ICYMI,34,trump,
1463,anyway,34,trump,
8176,Convention,34,trump,
279,mistakes,34,trump,
2651,Work,34,trump,
13235,saved,34,trump,
4638,terrorists,34,trump,
5964,EST,33,trump,
458,prepared,33,trump,
9152,justice,33,trump,
1260,key,33,trump,
454,succeed,33,trump,
4328,Dubai,33,trump,
8850,gun,33,trump,
4039,Joan,33,trump,
3244,DRUDGEREPORT,33,trump,
1044,Japan,33,trump,
6771,concerning,33,trump,
2008,enemies,33,trump,
4441,boardroom,33,trump,
2547,fail,33,trump,
5812,MorningJoe,33,trump,
1451,Glad,33,trump,
4451,advantage,33,trump,
3414,corruption,33,trump,
8088,Warren,33,trump,
5831,terrorist,33,trump,
7747,reform,33,trump,
8218,handle,33,trump,
1419,Anthony,33,trump,
5786,Puerto,32,trump,
1096,Peter,32,trump,
680,Nevada,32,trump,
2600,dollar,32,trump,
7552,enemy,32,trump,
2125,heading,32,trump,
4195,sources,32,trump,
2007,funding,32,trump,
3287,Attorney,32,trump,
3696,Tell,32,trump,
1314,dummy,32,trump,
7863,Ronald,32,trump,
