,Word,RelativeProb
0,realDonaldTrump,0.012028574347528822
1,Trump,0.005155327826982168
2,amp,0.004449613743349548
3,will,0.0036213034491972304
4,great,0.0034924202535226764
5,Thank,0.0023749086422469685
6,Donald,0.0023057518055435494
7,be,0.0019536806368715964
8,Thanks,0.0018970977704778893
9,Obama,0.0018813803075907486
10,President,0.0018766650687246065
11,Great,0.0017980777542889027
12,our,0.0017870755302679042
13,country,0.0013281256139633941
14,America,0.0013218386288085377
15,very,0.0013202668825198236
16,are,0.0011929554331339834
17,president,0.0011882401942678413
18,US,0.001167807492514558
19,RT,0.0011568052684935597
20,Trump2016,0.0010294938191077196
21,Hillary,0.0010027741321995804
22,should,0.0009996306396221522
23,run,0.0009996306396221522
24,would,0.0009351890417848754
25,We,0.000933617295496161
26,He,0.0008628887125040276
27,FoxNews,0.0008251668015748898
28,BarackObama,0.0008125928312651772
29,GREAT,0.000809449338687749
30,many,0.0007732991740473253
31,has,0.0007512947260053283
32,job,0.0007418642482730439
33,must,0.0007277185316746171
34,China,0.0007245750390971889
35,Democrats,0.0007230032928084749
36,Mr,0.0007135728150761903
37,Via,0.0006978553521890496
38,you,0.0006931401133229067
39,American,0.0006899966207454793
40,vote,0.0006789943967244808
41,interview,0.0006365572469292007
42,big,0.0006192680377533459
43,AMERICA,0.0006176962914646318
44,MakeAmericaGreatAgain,0.0006051223211549192
45,have,0.0005988353360000635
46,Clinton,0.0005972635897113488
47,Will,0.0005941200971339207
48,cont,0.0005784026342467799
49,ObamaCare,0.0005768308879580658
50,is,0.0005736873953806378
51,Apprentice,0.0005689721565144954
52,News,0.0005689721565144954
53,he,0.0005689721565144954
54,CNN,0.0005674004102257814
55,by,0.0005595416787822108
56,jobs,0.0005516829473386405
57,They,0.0005312502455853576
58,Fake,0.000520248021564359
59,Border,0.000517104528986931
60,It,0.0005108175438320746
61,2016,0.0005092457975433605
62,total,0.0005061023049659324
63,forward,0.0005061023049659324
64,than,0.000495100080944934
65,Country,0.0004935283346562198
66,doing,0.0004888130957900774
67,business,0.0004809543643465072
68,TRUMP,0.00047938261805779314
69,people,0.00047466737919165097
70,true,0.00047309563290293686
71,deal,0.00047152388661422275
72,New,0.0004573781700157961
73,United,0.0004463759459947975
74,Very,0.0004369454682625131
75,AGAIN,0.00043537372197379896
76,MAKE,0.00043380197568508496
77,Republicans,0.0004322302293963708
78,States,0.0004306584831076568
79,Republican,0.0004259432442415145
80,am,0.0004196562590866582
81,MittRomney,0.00041179752764308785
82,campaign,0.00041022578135437384
83,National,0.0004007953036220893
84,smart,0.0003976518110446612
85,course,0.000394508318467233
86,USA,0.00039293657217851895
87,economy,0.0003929365721785189
88,House,0.00038822133331237673
89,money,0.00038507784073494856
90,golf,0.0003835060944462345
91,True,0.00038036260186880634
92,election,0.00037564736300266406
93,done,0.0003709321241365219
94,totally,0.00037093212413652184
95,Why,0.0003693603778478078
96,ratings,0.0003615016464042374
97,debate,0.0003583581538268093
98,nice,0.00035207116867195295
99,honor,0.0003473559298058107
100,agree,0.00034578418351709667
101,IvankaTrump,0.0003442124372283826
102,GOP,0.0003410689446509544
103,wonderful,0.0003410689446509544
104,Russia,0.0003394971983622404
105,bad,0.0003394971983622403
106,Washington,0.0003379254520735263
107,speech,0.00033478195949609817
108,Dems,0.0003347819594960981
109,Americans,0.00033163846691867
110,Wow,0.00033163846691867
111,needs,0.0003284949743412419
112,Iran,0.00032535148176381367
113,fantastic,0.00032535148176381367
114,poll,0.00032535148176381367
115,never,0.0003237797354750997
116,York,0.0003222079891863855
117,strong,0.0003190644966089574
118,Think,0.00031749275032024333
119,NBC,0.00031749275032024333
120,Celebrity,0.0003159210040315293
121,Obamas,0.00031434925774281516
122,which,0.0003143492577428151
123,You,0.0003064905262992446
124,illegal,0.0003049187800105307
125,numbers,0.00030177528743310255
126,Congratulations,0.0003002035411443885
127,tough,0.00029548830227824627
128,Wall,0.00029548830227824627
129,DonaldTrump,0.0002954883022782462
130,Iowa,0.00029391655598953216
131,Bush,0.0002923448097008181
132,Macys,0.0002876295708346759
133,record,0.0002876295708346759
134,North,0.0002876295708346759
135,Our,0.0002860578245459618
136,Security,0.00028605782454596177
137,not,0.00028448607825724793
138,success,0.0002844860782572477
139,Tower,0.0002844860782572477
140,Big,0.0002844860782572477
141,discussing,0.00028291433196853366
142,FBI,0.0002829143319685336
143,Military,0.0002797708393911055
144,terrible,0.00027505560052496327
145,Entrepreneurs,0.00027348385423624916
146,Web,0.0002719121079475351
147,much,0.00027034036165882094
148,Enjoy,0.00026876861537010693
149,interviewed,0.0002671968690813929
150,Florida,0.0002656251227926788
151,Scotland,0.0002656251227926788
152,Korea,0.0002656251227926788
153,Mexico,0.00026562512279267877
154,hard,0.0002640533765039647
155,Golf,0.0002640533765039647
156,Deal,0.00026248163021525066
157,Again,0.0002609098839265366
158,ISIS,0.0002609098839265366
159,soon,0.00026090988392653654
160,disaster,0.00025776639134910843
161,Media,0.00025462289877168027
162,yesterday,0.00025462289877168027
163,Make,0.00025305115248296626
164,Cruz,0.0002530511524829662
165,Congress,0.00025147940619425215
166,WhiteHouse,0.00024990765990553804
167,White,0.00024990765990553804
168,Bill,0.00024990765990553804
169,far,0.00024676416732810993
170,running,0.0002467641673281099
171,Senate,0.0002451924210393958
172,said,0.0002420489284619677
173,polls,0.00024204892846196765
174,Jeb,0.0002404771821732536
175,Witch,0.0002404771821732536
176,massive,0.0002404771821732536
177,Fox,0.0002389054358845395
178,Senator,0.00023576194330711137
179,State,0.00023261845072968326
180,meeting,0.00023261845072968323
181,Governor,0.0002326184507296832
182,Doral,0.000227903211863541
183,leadership,0.00022633146557482693
184,immigration,0.0002263314655748269
185,megynkelly,0.00022475971928611284
186,Hunt,0.00022161622670868468
187,DC,0.00022161622670868465
188,military,0.0002200444804199706
189,seanhannity,0.00021847273413125654
190,dollars,0.00021690098784254248
191,Trade,0.00021690098784254245
192,failing,0.00021690098784254245
193,border,0.0002137574952651143
194,taxes,0.0002137574952651143
195,badly,0.0002137574952651143
196,countries,0.0002137574952651143
197,Iraq,0.0002137574952651143
198,Looking,0.00021218574897640023
199,dishonest,0.00021218574897640023
200,leader,0.00021061400268768615
201,PM,0.00020904225639897206
202,candidate,0.000207470510110258
203,trump,0.00020747051011025798
204,amazing,0.00020747051011025793
205,debt,0.00020589876382154392
206,EricTrump,0.00020275527124411578
207,tax,0.00020275527124411576
208,Carolina,0.00020275527124411576
209,oreillyfactor,0.0002011835249554017
210,thanks,0.0001980400323779736
211,POTUS,0.00019804003237797353
212,fix,0.00019646828608925948
213,John,0.00019489653980054542
214,Rubio,0.00019175304722311723
215,oil,0.00019175304722311723
216,Tax,0.00019018130093440317
217,weak,0.00019018130093440317
218,leaders,0.00019018130093440317
219,Poll,0.00018860955464568911
220,hotel,0.00018860955464568911
221,Ted,0.00018860955464568911
222,Ohio,0.0001886095546456891
223,Administration,0.0001886095546456891
224,successful,0.0001886095546456891
225,Crime,0.0001886095546456891
226,Hampshire,0.0001886095546456891
227,tremendous,0.00018703780835697503
228,Chicago,0.000187037808356975
229,economic,0.00018546606206826095
230,others,0.00018546606206826092
231,going,0.00018389431577954703
232,MAGA,0.0001823225694908328
233,nytimes,0.0001823225694908328
234,years,0.0001823225694908328
235,phony,0.00018075082320211872
236,Many,0.0001807508232021187
237,Art,0.00017917907691340464
238,again,0.00017760733062469048
239,book,0.00017603558433597653
240,major,0.0001760355843359765
241,spending,0.00017446383804726242
242,Miss,0.00017289209175854836
243,working,0.0001728920917585483
244,luck,0.00017132034546983428
245,attack,0.00017132034546983425
246,South,0.00017132034546983425
247,VOTE,0.0001697485991811202
248,Election,0.00016974859918112017
249,nothing,0.00016817685289240614
250,fast,0.00016817685289240614
251,AM,0.0001681768528924061
252,office,0.0001681768528924061
253,morning,0.00016817685289240608
254,DonaldJTrumpJr,0.00016660510660369203
255,Americas,0.00016660510660369203
256,more,0.00016660510660369203
257,Party,0.00016660510660369203
258,trade,0.00016660510660369203
259,Pennsylvania,0.00016660510660369203
260,Collusion,0.00016503336031497797
261,media,0.00016503336031497797
262,political,0.00016503336031497794
263,Post,0.0001634616140262639
264,Vets,0.0001634616140262639
265,Democrat,0.0001634616140262639
266,crowd,0.00016346161402626386
267,losers,0.0001618898677375498
268,fired,0.0001618898677375498
269,General,0.0001618898677375498
270,truly,0.00016031812144883575
271,hope,0.00016031812144883575
272,millions,0.00016031812144883575
273,Vote,0.00015717462887140758
274,Melania,0.00015717462887140758
275,unemployment,0.00015717462887140758
276,ties,0.00015717462887140755
277,deals,0.00015560288258269353
278,presidential,0.0001556028825826935
279,Justice,0.0001556028825826935
280,better,0.00015403113629397947
281,Romney,0.00015403113629397944
282,million,0.00015403113629397944
283,focus,0.00015403113629397941
284,International,0.00015403113629397941
285,politicians,0.00015245939000526536
286,failed,0.00015088764371655128
287,Trumps,0.00014931589742783722
288,including,0.0001493158974278372
289,People,0.0001493158974278372
290,building,0.0001477441511391231
291,Just,0.00014617240485040903
292,NYC,0.00014460065856169497
293,wind,0.00014460065856169497
294,knows,0.00014460065856169494
295,problems,0.00014145716598426683
296,energy,0.00014145716598426683
297,believe,0.0001414571659842668
298,highest,0.0001414571659842668
299,news,0.00013988541969555275
300,Office,0.00013988541969555275
301,under,0.0001383136734068387
302,Champion,0.0001383136734068387
303,borders,0.00013831367340683866
304,Syria,0.0001367419271181246
305,crime,0.00013517018082941052
306,doesnt,0.00013517018082941052
307,stated,0.00013517018082941052
308,respect,0.0001351701808294105
309,Presidential,0.00013359843454069644
310,government,0.00013359843454069644
311,Virginia,0.00013359843454069644
312,Remember,0.00013359843454069644
313,Be,0.00013202668825198238
314,Mitt,0.00013202668825198238
315,Join,0.00013202668825198233
316,wont,0.0001304549419632683
317,Comey,0.0001304549419632683
318,respected,0.0001304549419632683
319,low,0.00012888319567455424
320,did,0.00012888319567455424
321,J,0.00012888319567455422
322,Obamacare,0.00012888319567455422
323,realdonaldtrump,0.00012888319567455422
324,highly,0.00012888319567455422
325,Now,0.00012731144938584013
326,loser,0.00012731144938584013
327,Jobs,0.000124167956808412
328,worse,0.000124167956808412
329,lost,0.00012416795680841197
330,THANK,0.0001225962105196979
331,Good,0.0001225962105196979
332,Reagan,0.0001225962105196979
333,Keep,0.00012102446423098385
334,mess,0.00012102446423098385
335,Amendment,0.00012102446423098384
336,companies,0.00012102446423098383
337,Secretary,0.00012102446423098383
338,endorsement,0.00012102446423098383
339,well,0.0001210244642309838
340,Hotel,0.00011945271794226977
341,Run,0.00011945271794226977
342,haters,0.00011945271794226977
343,November,0.00011945271794226974
344,Chuck,0.00011788097165355569
345,healthcare,0.00011788097165355569
